rank,City,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
171,Keonjhar,4.6545,110,0.5816,0.4108,0.8963489634896348,0.3722775291729595,0.5594766355140188,0.671753
172,Panchkula,4.374,877,0.77,0.3072,0.8121981219812197,0.5639707159526887,0.482018691588785,0.671694
173,Gwalior,4.1633,2744,0.8536,0.3061,0.7489874898748986,0.6696268103302901,0.48119626168224305,0.671621
174,Sunkadahalli,4.4611,386,0.6836,0.3715,0.8383283832838329,0.4880372446114523,0.5300934579439253,0.671594
175,Khodala,5.0,7,0.0,0.5506,1.0,0.1284952746781209,0.664,0.671349
176,Vijayawada,4.2197,1684,0.8376,0.338,0.7659076590765906,0.6243927756894316,0.5050467289719627,0.671281
177,Bodh Gaya,4.2255,2262,0.8261,0.277,0.7676476764767648,0.6517293739685203,0.4594392523364487,0.671231
178,Kolad,4.5796,226,0.7515,0.349,0.8738787387873879,0.43858961148897857,0.5132710280373832,0.67117
179,Salem,4.3295,959,0.79,0.3297,0.7988479884798849,0.5722466768053445,0.49884112149532706,0.670866
180,Orchha,4.221,1846,0.8547,0.3153,0.7662976629766298,0.6329014292029548,0.48807476635514035,0.670634
181,Tattapani,5.0,1,,0.8,1.0,0.0,0.8504672897196264,0.670093
182,Ratnagiri,4.2696,1350,0.8601,0.3198,0.7808778087780877,0.60391570981812,0.49143925233644853,0.669901
183,Shimoga,4.1881,2164,0.8613,0.311,0.7564275642756428,0.6476259056629413,0.48485981308411213,0.669474
184,Rohtak,4.5976,164,0.7407,0.3777,0.8792787927879279,0.4090211608044696,0.5347289719626168,0.669292
185,Betalbatim,4.5058,342,0.7649,0.3333,0.8517385173851738,0.4768501254040895,0.5015327102803738,0.669231
186,Attingal,4.9333,15,0.2582,0.4743,0.979989799897999,0.1927429120171814,0.6069532710280374,0.669208
187,Chikkaballapur,4.2767,1294,0.8585,0.3139,0.7830078300783008,0.5999917483126984,0.4870280373831777,0.668907
188,Guwahati,4.0842,4896,0.8761,0.258,0.7252572525725257,0.7232795012988714,0.44523364485981315,0.668659
189,Dahej,5.0,5,0.0,0.5861,1.0,0.1018300959423432,0.6905420560747665,0.668657
190,Kanpur,4.2943,1084,0.8361,0.3274,0.7882878828788287,0.5835920855992691,0.4971214953271028,0.668646
191,Azamgarh,5.0,2,0.0,0.7146,1.0,0.037582458603282756,0.7866168224299065,0.668598
192,Bundi,4.2773,1284,0.9104,0.3093,0.7831878318783189,0.5992732195379262,0.483588785046729,0.668094
193,Bekal,4.4167,528,0.7574,0.3344,0.8250082500825007,0.5170086987279835,0.502355140186916,0.668078
