City,review_count,avg_rating,rating_std,min_rating,max_rating,unique_places,unique_reviewers,five_star_rate,rank,dense_rank,row_num,pct_rank,review_pct
Malvan,1404,4.3091,0.8035,1.0,5.0,21,1,0.4943,164,161,164,0.0903,0.09
Ratnagiri,1350,4.2696,0.8601,1.0,5.0,44,1,0.4896,165,162,165,0.0909,0.09
Kanchipuram,1349,4.0838,0.8481,1.0,5.0,46,1,0.3662,166,163,166,0.0914,0.09
Kumarakom,1347,4.0854,0.9094,1.0,5.0,16,1,0.389,167,164,167,0.092,0.09
Ponda,1341,4.2081,0.9227,1.0,5.0,22,1,0.4668,168,165,168,0.0925,0.09
Mararikulam,1324,4.4872,0.7573,1.0,5.0,5,1,0.6118,169,166,169,0.0931,0.09
Silvassa,1318,4.2223,0.8704,1.0,5.0,14,1,0.4552,170,167,170,0.0936,0.09
Mandu,1309,4.0359,0.9242,1.0,5.0,41,1,0.3728,171,168,171,0.0942,0.09
Chikkaballapur,1294,4.2767,0.8585,1.0,5.0,14,1,0.49,172,169,172,0.0947,0.09
Bundi,1284,4.2773,0.9104,1.0,5.0,32,1,0.5109,173,170,173,0.0953,0.09
Jamnagar,1259,4.1835,0.8629,1.0,5.0,48,1,0.4337,174,171,174,0.0958,0.08
Arambol,1248,4.4367,0.8203,1.0,5.0,7,1,0.5938,175,172,175,0.0964,0.08
Kutch,1240,4.2411,0.8442,1.0,5.0,22,1,0.4645,176,173,176,0.097,0.08
Vythiri,1235,4.2453,0.8477,1.0,5.0,3,1,0.4656,177,174,177,0.0975,0.08
Kollam,1230,4.1724,0.8936,1.0,5.0,37,1,0.4341,178,175,178,0.0981,0.08
Kausani,1213,4.1195,0.851,1.0,5.0,10,1,0.3743,179,176,179,0.0986,0.08
Mollem National Park,1209,4.062,0.9289,1.0,5.0,4,1,0.3821,180,177,180,0.0992,0.08
Badami,1192,4.1644,0.8634,1.0,5.0,13,1,0.4186,181,178,181,0.0997,0.08
Gandhinagar,1180,4.4153,0.7708,1.0,5.0,16,1,0.5636,182,179,182,0.1003,0.08
Almora,1162,4.2117,0.8414,1.0,5.0,19,1,0.4398,183,180,183,0.1008,0.08
Chail,1126,4.2131,0.9037,1.0,5.0,7,1,0.4707,184,181,184,0.1014,0.08
Jamshedpur,1126,4.3499,0.7401,1.0,5.0,18,1,0.4885,184,181,185,0.1014,0.08
Mukteshwar,1125,4.3769,0.7722,1.0,5.0,11,1,0.5307,186,182,186,0.1025,0.08
Kottayam,1124,4.3212,0.8265,1.0,5.0,42,1,0.5169,187,183,187,0.103,0.08
Bijapur,1104,3.8877,1.0247,1.0,5.0,26,1,0.327,188,184,188,0.1036,0.07
Palakkad,1090,4.1945,0.888,1.0,5.0,30,1,0.4532,189,185,189,0.1042,0.07
Kanpur,1084,4.2943,0.8361,1.0,5.0,30,1,0.4963,190,186,190,0.1047,0.07
Digha,1081,4.0823,0.9745,1.0,5.0,11,1,0.4172,191,187,191,0.1053,0.07
Kurnool,1068,4.0655,0.8677,1.0,5.0,21,1,0.3633,192,188,192,0.1058,0.07
Imphal,1058,3.8573,1.082,1.0,5.0,38,1,0.3195,193,189,193,0.1064,0.07
Satara,1045,4.2182,0.8271,1.0,5.0,38,1,0.4325,194,190,194,0.1069,0.07
Naggar,1041,4.2421,0.8498,1.0,5.0,6,1,0.4697,195,191,195,0.1075,0.07
Athirappilly,1040,4.3135,0.8219,1.0,5.0,6,1,0.5106,196,192,196,0.108,0.07
Kanoi,993,4.1229,0.9306,1.0,5.0,1,1,0.4109,197,193,197,0.1086,0.07
Dona Paula,992,4.2308,0.8804,1.0,5.0,6,1,0.4637,198,194,198,0.1091,0.07
Anjuna,981,4.0805,0.9005,1.0,5.0,2,1,0.3802,199,195,199,0.1097,0.07
Jalandhar,978,4.456,0.7383,1.0,5.0,20,1,0.5818,200,196,200,0.1102,0.07
Bandipur,974,3.9815,0.9245,1.0,5.0,5,1,0.3285,201,197,201,0.1108,0.07
Guruvayur,959,3.9802,0.8673,1.0,5.0,16,1,0.3076,202,198,202,0.1114,0.06
Salem,959,4.3295,0.79,1.0,5.0,28,1,0.5005,202,198,203,0.1114,0.06
Kasaragod,952,4.2206,0.8404,1.0,5.0,27,1,0.4443,204,199,204,0.1125,0.06
Chapora,948,4.2395,0.8552,2.0,5.0,1,1,0.462,205,200,205,0.113,0.06
Tirunelveli,941,4.119,0.8707,1.0,5.0,44,1,0.39,206,201,206,0.1136,0.06
Bhimtal,936,4.3462,0.8181,1.0,5.0,10,1,0.531,207,202,207,0.1141,0.06
Murshidabad,923,3.792,0.9957,1.0,5.0,29,1,0.2644,208,203,208,0.1147,0.06
Badrinath,903,3.9192,0.8715,1.0,5.0,13,1,0.2901,209,204,209,0.1152,0.06
Karwar,891,4.1762,0.8826,1.0,5.0,24,1,0.4355,210,205,210,0.1158,0.06
Srirangapatna,889,3.8515,1.0561,1.0,5.0,14,1,0.315,211,206,211,0.1163,0.06
Ghaziabad,886,4.3623,0.7787,1.0,5.0,17,1,0.5158,212,207,212,0.1169,0.06
Ranikhet,884,4.1324,0.8629,1.0,5.0,13,1,0.3937,213,208,213,0.1175,0.06
Panchkula,877,4.374,0.77,1.0,5.0,16,1,0.5268,214,209,214,0.118,0.06
Mandrem,876,4.5719,0.6965,1.0,5.0,9,1,0.6689,215,210,215,0.1186,0.06
Magadi,876,4.5582,0.7827,1.0,5.0,4,1,0.6884,215,210,216,0.1186,0.06
Hassan,874,4.0206,0.9267,1.0,5.0,20,1,0.3513,217,211,217,0.1197,0.06
Abhaneri,867,4.203,0.8381,1.0,5.0,2,1,0.4268,218,212,218,0.1202,0.06
Agartala,866,4.1374,0.8221,2.0,5.0,41,1,0.3811,219,213,219,0.1208,0.06
Kangra,861,4.0081,0.9578,1.0,5.0,22,1,0.367,220,214,220,0.1213,0.06
Kota,859,4.3271,0.7897,1.0,5.0,27,1,0.4948,221,215,221,0.1219,0.06
Valparai,854,4.1511,0.8938,1.0,5.0,13,1,0.4204,222,216,222,0.1224,0.06
Mandarmani,843,4.3393,0.9111,1.0,5.0,1,1,0.5575,223,217,223,0.123,0.06
Mawlynnong,826,4.2361,0.8246,1.0,5.0,5,1,0.4492,224,218,224,0.1235,0.06
