rank,Place,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
146,Arambol Beach,4.4748,952,0.8096,0.3438,0.8687,0.6588008892086268,0.6250285714285714,0.756996
147,Sahelion Ki Bari,4.3384,1770,0.7858,0.3192,0.8346,0.7250055418891244,0.6109714285714285,0.756996
148,Elante mall,4.3931,1132,0.7811,0.3836,0.8482749999999999,0.6772845209403571,0.6477714285714286,0.756877
149,Nigeen Lake,4.4355,1070,0.7708,0.3519,0.858875,0.6712721965335176,0.6296571428571429,0.756751
150,Cherai Ayurvedic Bhavan Spa,4.8248,137,0.4521,0.4976,0.9561999999999999,0.45235510108743465,0.7129142857142857,0.756389
151,Lighthouse Beach,4.3556,1423,0.8428,0.3506,0.8389,0.7017073246364918,0.6289142857142858,0.755745
152,Sai Teerth Theme Park Shirdi,4.688,234,0.5941,0.4897,0.9219999999999999,0.5092273167607995,0.7084,0.755448
153,Amaazia Water Park,4.8046,174,0.5857,0.4439,0.9511499999999999,0.4777321062193908,0.6822285714285714,0.75534
154,Eco Tourism Park,4.4715,895,0.7289,0.3489,0.867875,0.6522118318867464,0.6279428571428571,0.75519
155,"Mountain Tours, Treks & Travels",4.6436,362,0.6425,0.4138,0.9109,0.5556814700949684,0.6650285714285714,0.75516
156,Morjim Beach,4.5322,684,0.7363,0.3572,0.8830499999999999,0.623524054680047,0.6326857142857143,0.755119
157,Vallonne Vineyards,4.7298,248,0.5723,0.4247,0.93245,0.5154096377654448,0.6712571428571429,0.755099
158,Sinhagad Fort,4.3194,1653,0.8513,0.3414,0.82985,0.7177035387757996,0.6236571428571428,0.754967
159,Lion's Point,4.3415,1350,0.8954,0.3711,0.835375,0.6960851051918872,0.6406285714285714,0.754639
160,Birla Mandir Temple (Lakshmi Narayan),4.4586,918,0.6973,0.3499,0.8646499999999999,0.6549196666841508,0.6285142857142857,0.754504
161,Deolo Hill,4.5217,529,0.6742,0.4315,0.880425,0.596116145575004,0.6751428571428572,0.754076
162,Wet N Joy Water Park,4.6869,329,0.713,0.3836,0.9217249999999999,0.5454989095067463,0.6477714285714286,0.754066
