Place,avg_rating,review_count,rating_std
Jaugada Temple,5.0,1,
Kutchi Art Gallery,5.0,1,
Chikinia Park,5.0,2,0.0
Darga of Hazrat Shah Kamal Baba,5.0,2,0.0
Great Nicobar Biosphere Reserve,5.0,2,0.0
Dargah Hazrat Khwaja Dana,5.0,3,0.0
Dargah Hazrat Mai Sahiba,5.0,1,
Maharishi Valmiki Mandir,5.0,2,0.0
Chhatri of Raja Jaswant Singh,5.0,1,
SOHO,5.0,1,
Cherishma,5.0,1,
Chhapaak Water Park,5.0,1,
Kusum Art Jewellars,5.0,3,0.0
Kushaleshwar Temple,5.0,1,
SK Patil Udyan,5.0,2,0.0
Chethalayam Waterfalls,5.0,1,
SAMARTH YOGA DARSHAN,5.0,1,
Cheruthrikkovil Temple,5.0,1,
Shree Ganesh Sai Temple,5.0,2,0.0
Shree Hanumanji Temple,5.0,1,
Shri Gopinath Temple,5.0,4,0.0
Chatri Talao,5.0,2,0.0
Shri Adhishakthi Temple,5.0,1,
Jaya He GVK New Museum,5.0,2,0.0
Kunchikal Falls,5.0,1,
Nepali Temple,5.0,1,
Shri Balaji Temple,5.0,3,0.0
River View Adventures,5.0,1,
Kumbha Shyam Temple,5.0,1,
Chandigarh Nagar Van,5.0,3,0.0
"Shri Balaji Temple, Talai Wale Balaji",5.0,1,
Dehra Gali,5.0,1,
Shri Brahma Chaitanya Gondavalekar Maharaj,5.0,1,
Rishabhdev RajGhat Udyan,5.0,2,0.0
Naka-Chikong,5.0,1,
Shri Chandranatha Swamy Basadi,5.0,1,
Shri Dev Bodgeshwar Sansthan,5.0,2,0.0
Jain Mutt,5.0,1,
ICCR Art Gallery,5.0,4,0.0
Shreevigna Harta Ganesh,5.0,1,
Jay Taxi Service,5.0,2,0.0
Dechen Choekhor Mahavihara Monastery,5.0,12,0.0
Daya Mata Mandir,5.0,2,0.0
Chatrapati Shivaji Maharaj Sphoorty Kendram,5.0,3,0.0
Datta Mandir,5.0,3,0.0
Charre-Marre Falls,5.0,3,0.0
Gudahandi Hills,5.0,1,
Daulat Singh Park,5.0,4,0.0
Jain Temple Of Laxmani,5.0,1,
Shree Rama Jain Dev Sthan,5.0,2,0.0
Shree Sant Lahari Ashram,5.0,1,
Shree Tungeshwar Mandir,5.0,2,0.0
Rod's Farm,5.0,2,0.0
Gudem Satyanarayana Swamy Temple,5.0,2,0.0
Jain Temple Nalbari,5.0,2,0.0
Chandru Art Gallery,5.0,2,0.0
Rock Paintings,5.0,1,
Chandrampalli Dam,5.0,6,0.0
Mahavir Dham Jain Tirth,5.0,1,
Great Himalayan Hiking,5.0,1,
Shantiniketan Sadhana Kendra,5.0,3,0.0
Nandgaon Beach Boisar,5.0,1,
Nandikeshwari Temple,5.0,1,
Gopal Theatre,5.0,1,
Sardulgarh Fort,5.0,6,0.0
Jamawar Art Gallery,5.0,3,0.0
Sarnath Deer Park,5.0,3,0.0
Salem Mango,5.0,2,0.0
Lakshmi Varadaraja Swami Temple,5.0,1,
Club M,5.0,3,0.0
DM Travel Hub,5.0,1,
Dabdaba Island,5.0,1,
Satagawan Petro Falls,5.0,1,
City Garden,5.0,1,
Jami Mosque of Zinad Baksh,5.0,2,0.0
Dada Dev Mandir,5.0,2,0.0
Natesan Park,5.0,9,0.0
Chuti Park,5.0,3,0.0
Saketri Mandir,5.0,1,
Narwar Fort,5.0,1,
College of Art,5.0,1,
Jamal's Corner Shop,5.0,2,0.0
Sarafgarh Dam,5.0,1,
Samaspur Bird Sanctuary,5.0,1,
Samsung Opera House,5.0,3,0.0
Crazy Park,5.0,1,
Lalmati-Duramari Ganesh Temple,5.0,1,
Lalit Kala Akademi,5.0,1,
Cosmo Arts (India),5.0,2,0.0
Gopinath Mandir,5.0,1,
Nauradehi Wildlife Sanctuary,5.0,1,
Nature First Eco Village,5.0,4,0.0
Cycercity Conventions,5.0,3,0.0
Cool Spa,5.0,1,
Sant Eknath Maharaj Samadhi Mandir,5.0,1,
Navyug Industries,5.0,1,
Langha Mata Temple,5.0,2,0.0
Csi Emmanuel Church,5.0,1,
Confluence of Lachen Chu and Lachung Chu,5.0,1,
Saptha Kund,5.0,3,0.0
Saudades,5.0,1,
