City,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Simhachalam,0.3556,0.5433,8,Positive
Nawalgarh,0.3554,0.5722,201,Positive
Ariyurnadu,0.3554,0.5574,47,Positive
Bhimavaram,0.3552,0.5787,68,Positive
Kanger Valley National Park,0.3551,0.5721,128,Positive
Davanagere,0.3551,0.5475,12,Positive
Anandpur Sahib,0.3549,0.5249,93,Positive
Barrackpur,0.3549,0.4354,4,Positive
Kundapur,0.3547,0.5927,197,Positive
Benaulim,0.3545,0.5877,1750,Positive
Davangere,0.3541,0.5653,47,Positive
Chapora,0.354,0.6101,948,Positive
Mohali,0.3536,0.5649,388,Positive
Poonch,0.3533,0.6234,11,Positive
Gudur,0.3531,0.5,2,Positive
Taradevi,0.353,0.5906,253,Positive
Kayavarohan,0.3528,0.5585,26,Positive
Pariyej,0.3528,0.5571,13,Positive
Lamayuru,0.3523,0.5998,274,Positive
Malappuram,0.3523,0.569,366,Positive
Baga,0.3518,0.5835,6589,Positive
Kanha National Park,0.3515,0.5762,41,Positive
Rajahmundry,0.3504,0.5841,485,Positive
Panchgani,0.3504,0.5797,2133,Positive
Chindi,0.35,0.7562,1,Positive
Ghatgan,0.3499,0.5919,30,Positive
Hisar,0.3498,0.5503,66,Positive
Dhenkanal,0.3498,0.6969,24,Positive
Dhamtari,0.3496,0.5709,48,Positive
Satna,0.3496,0.5182,23,Positive
Temi,0.3495,0.6197,116,Positive
Penha-de-Franca,0.3495,0.6499,24,Positive
Nelliyampathy,0.3493,0.5912,115,Positive
Ernakulam District,0.3492,0.6303,6,Positive
Kasol,0.3492,0.5221,5,Positive
Agra,0.3492,0.5953,39271,Positive
Kolad,0.349,0.5731,226,Positive
Tithal,0.3487,0.5972,7,Positive
Pali,0.3486,0.5819,163,Positive
Kalimpong,0.3485,0.5915,1721,Positive
Srinagar,0.3485,0.595,17225,Positive
Hoshangabad,0.3483,0.5662,34,Positive
Majorda,0.3482,0.5841,569,Positive
Uppalapadu,0.3479,0.5794,16,Positive
Chandigarh,0.3478,0.5864,9991,Positive
Vizianagaram,0.3478,0.5433,104,Positive
Narmada,0.3478,0.5817,319,Positive
Quepem,0.3478,0.584,67,Positive
Keori,0.3477,0.6546,9,Positive
Gholu Majra,0.3474,0.4835,6,Positive
Jamshedpur,0.3474,0.5584,1126,Positive
Someshwar,0.3473,0.597,139,Positive
Cavelossim,0.3473,0.5876,1958,Positive
Bardez,0.3473,0.5857,3478,Positive
Pokaran,0.3469,0.6123,9,Positive
Tarkarli,0.3468,0.5654,194,Positive
Hubli-Dharwad,0.3467,0.5575,719,Positive
Himmatnagar,0.3465,0.5912,77,Positive
Mandawa,0.3462,0.5466,26,Positive
Mapusa,0.346,0.5715,1528,Positive
Kotdwara,0.346,0.5889,54,Positive
Ujire,0.3457,0.5895,20,Positive
Pratapgarh,0.3456,0.5518,20,Positive
Kokrajhar,0.3455,0.5524,3,Positive
Khunti,0.3453,0.4846,12,Positive
Lava,0.345,0.6275,80,Positive
Vythiri,0.3448,0.5597,1235,Positive
Sasaram,0.3446,0.5424,74,Positive
